target	regulator	combined_confidences	gold_standard	precision	recall	MCC	F1	prior	beta.sign.sum	var.exp.median
HVO_RS03140	HVO_RS03340	0.999987	1.000000	1.000000	0.000502	0.077502	0.001003	1.000000	1.000000	1.000000
HVO_RS07420	HVO_RS07430	0.999987	1.000000	1.000000	0.001004	0.077502	0.002005	1.000000	1.000000	1.000000
HVO_RS03700	HVO_RS02405	0.999987	1.000000	1.000000	0.001505	0.077502	0.003006	1.000000	1.000000	1.000000
HVO_RS18405	HVO_RS19025	0.999987	1.000000	1.000000	0.002007	0.077502	0.004006	1.000000	1.000000	1.000000
HVO_RS15255	HVO_RS07185	0.999987	1.000000	1.000000	0.002509	0.077502	0.005005	1.000000	1.000000	1.000000
HVO_RS04600	HVO_RS04605	0.999987	1.000000	1.000000	0.003011	0.077502	0.006003	1.000000	1.000000	1.000000
HVO_RS05525	HVO_RS05530	0.999987	1.000000	1.000000	0.003512	0.077502	0.007000	1.000000	1.000000	1.000000
HVO_RS02610	HVO_RS02615	0.999987	1.000000	1.000000	0.004014	0.077502	0.007996	1.000000	1.000000	1.000000
HVO_RS03605	HVO_RS01980	0.999987	1.000000	1.000000	0.004516	0.077502	0.008991	1.000000	1.000000	1.000000
HVO_RS00510	HVO_RS00550	0.999987	1.000000	1.000000	0.005018	0.077502	0.009985	1.000000	1.000000	1.000000
HVO_RS00995	HVO_RS00990	0.999987	1.000000	1.000000	0.005519	0.077502	0.010978	1.000000	1.000000	1.000000
HVO_RS02405	HVO_RS03700	0.999987	1.000000	1.000000	0.006021	0.077502	0.011970	1.000000	1.000000	1.000000
HVO_RS01830	HVO_RS01840	0.999972	1.000000	1.000000	0.006523	0.080667	0.012961	1.000000	1.000000	0.998272
HVO_RS03105	HVO_RS03090	0.999969	1.000000	1.000000	0.007025	0.083712	0.013951	1.000000	1.000000	0.995001
HVO_RS07070	HVO_RS07065	0.999967	1.000000	1.000000	0.007526	0.086650	0.014940	1.000000	1.000000	0.994513
HVO_RS01835	HVO_RS01840	0.999965	1.000000	1.000000	0.008028	0.089492	0.015928	1.000000	1.000000	0.994023
HVO_RS14470	HVO_RS14485	0.999962	1.000000	1.000000	0.008530	0.092246	0.016915	1.000000	1.000000	0.993342
HVO_RS01825	HVO_RS01840	0.999960	1.000000	1.000000	0.009032	0.094921	0.017902	1.000000	1.000000	0.993013
HVO_RS01670	HVO_RS00490	0.999958	1.000000	1.000000	0.009533	0.097522	0.018887	1.000000	1.000000	0.990723
HVO_RS14480	HVO_RS14485	0.999955	1.000000	1.000000	0.010035	0.100055	0.019871	1.000000	1.000000	0.990412
HVO_RS14475	HVO_RS14485	0.999953	1.000000	1.000000	0.010537	0.102526	0.020854	1.000000	1.000000	0.988840
HVO_RS13145	HVO_RS17680	0.999951	1.000000	1.000000	0.011039	0.104939	0.021836	1.000000	1.000000	0.988196
HVO_RS14920	HVO_RS14935	0.999948	1.000000	1.000000	0.011540	0.107298	0.022817	1.000000	1.000000	0.986825
HVO_RS01590	HVO_RS00550	0.999946	0.000000	0.958333	0.011540	0.105028	0.022806	0.000000	1.000000	0.983843
HVO_RS01095	HVO_RS00550	0.999943	0.000000	0.920000	0.011540	0.102895	0.022795	0.000000	1.000000	0.981760
HVO_RS03035	HVO_RS00550	0.999941	0.000000	0.884615	0.011540	0.100886	0.022784	0.000000	1.000000	0.981396
HVO_RS00445	HVO_RS00550	0.999939	0.000000	0.851852	0.011540	0.098990	0.022772	0.000000	1.000000	0.980233
HVO_RS01120	HVO_RS00550	0.999936	0.000000	0.821429	0.011540	0.097196	0.022761	0.000000	1.000000	0.979233
HVO_RS03375	HVO_RS03390	0.999934	1.000000	0.827586	0.012042	0.099660	0.023739	1.000000	1.000000	0.978201
HVO_RS03095	HVO_RS03090	0.999932	1.000000	0.833333	0.012544	0.102070	0.024716	1.000000	1.000000	0.977757
HVO_RS04925	HVO_RS04890	0.999929	1.000000	0.838710	0.013046	0.104428	0.025692	1.000000	1.000000	0.976969
HVO_RS00945	HVO_RS02040	0.999927	1.000000	0.843750	0.013547	0.106739	0.026667	1.000000	1.000000	0.976835
HVO_RS01595	HVO_RS00550	0.999925	0.000000	0.818182	0.013547	0.105100	0.026654	0.000000	1.000000	0.975791
HVO_RS04920	HVO_RS04890	0.999922	1.000000	0.823529	0.014049	0.107380	0.027627	1.000000	1.000000	0.975760
HVO_RS00310	HVO_RS00320	0.999920	1.000000	0.828571	0.014551	0.109617	0.028600	1.000000	1.000000	0.973815
HVO_RS00315	HVO_RS00320	0.999918	1.000000	0.833333	0.015053	0.111812	0.029571	1.000000	1.000000	0.973402
HVO_RS01060	HVO_RS00550	0.999915	0.000000	0.810811	0.015053	0.110282	0.029557	0.000000	1.000000	0.973249
HVO_RS02260	HVO_RS00550	0.999913	0.000000	0.789474	0.015053	0.108813	0.029542	0.000000	1.000000	0.972756
HVO_RS00520	HVO_RS00550	0.999911	0.000000	0.769231	0.015053	0.107400	0.029528	0.000000	1.000000	0.972316
HVO_RS06635	HVO_RS10815	0.999908	1.000000	0.775000	0.015554	0.109587	0.030497	1.000000	1.000000	0.971954
HVO_RS04520	HVO_RS04530	0.999906	1.000000	0.780488	0.016056	0.111736	0.031465	1.000000	1.000000	0.971692
HVO_RS12140	HVO_RS12155	0.999903	1.000000	0.785714	0.016558	0.113850	0.032432	1.000000	1.000000	0.971268
HVO_RS07645	HVO_RS00490	0.999901	0.000000	0.767442	0.016558	0.112510	0.032417	0.000000	1.000000	0.970941
HVO_RS01125	HVO_RS00550	0.999899	0.000000	0.750000	0.016558	0.111216	0.032401	0.000000	1.000000	0.970751
HVO_RS19595	HVO_RS03390	0.999896	0.000000	0.733333	0.016558	0.109966	0.032385	0.000000	1.000000	0.969691
HVO_RS04915	HVO_RS04890	0.999894	1.000000	0.739130	0.017060	0.112063	0.033350	1.000000	1.000000	0.968981
HVO_RS14885	HVO_RS00550	0.999892	0.000000	0.723404	0.017060	0.110856	0.033333	0.000000	1.000000	0.967653
HVO_RS01535	HVO_RS03390	0.999889	0.000000	0.708333	0.017060	0.109688	0.033317	0.000000	1.000000	0.967136
HVO_RS01540	HVO_RS03390	0.999887	0.000000	0.693878	0.017060	0.108555	0.033301	0.000000	1.000000	0.967045
HVO_RS04435	HVO_RS07610	0.999885	0.000000	0.680000	0.017060	0.107456	0.033284	0.000000	1.000000	0.965326
HVO_RS12135	HVO_RS12155	0.999882	0.000000	0.666667	0.017060	0.106390	0.033268	0.000000	1.000000	0.964389
HVO_RS00495	HVO_RS00490	0.999880	0.000000	0.653846	0.017060	0.105355	0.033252	0.000000	1.000000	0.963784
HVO_RS01015	HVO_RS00550	0.999878	0.000000	0.641509	0.017060	0.104349	0.033236	0.000000	1.000000	0.963545
HVO_RS01050	HVO_RS00550	0.999875	0.000000	0.629630	0.017060	0.103371	0.033219	0.000000	1.000000	0.962628
HVO_RS14890	HVO_RS07610	0.999873	0.000000	0.618182	0.017060	0.102419	0.033203	0.000000	1.000000	0.962482
HVO_RS04910	HVO_RS04890	0.999870	1.000000	0.625000	0.017561	0.104491	0.034163	1.000000	1.000000	0.961379
HVO_RS00530	HVO_RS00550	0.999868	0.000000	0.614035	0.017561	0.103563	0.034146	0.000000	1.000000	0.961145
HVO_RS01565	HVO_RS00490	0.999866	0.000000	0.603448	0.017561	0.102659	0.034130	0.000000	1.000000	0.960420
HVO_RS01655	HVO_RS07610	0.999863	0.000000	0.593220	0.017561	0.101778	0.034113	0.000000	1.000000	0.959471
HVO_RS01140	HVO_RS03390	0.999861	0.000000	0.583333	0.017561	0.100920	0.034096	0.000000	1.000000	0.957416
HVO_RS01685	HVO_RS00990	0.999859	0.000000	0.573770	0.017561	0.100082	0.034080	0.000000	1.000000	0.956681
HVO_RS03210	HVO_RS03390	0.999856	0.000000	0.564516	0.017561	0.099265	0.034063	0.000000	1.000000	0.956018
HVO_RS14810	HVO_RS00550	0.999854	0.000000	0.555556	0.017561	0.098467	0.034047	0.000000	1.000000	0.954650
HVO_RS01070	HVO_RS00550	0.999852	0.000000	0.546875	0.017561	0.097688	0.034030	0.000000	1.000000	0.954531
HVO_RS00790	HVO_RS00780	0.999849	1.000000	0.553846	0.018063	0.099709	0.034985	1.000000	1.000000	0.954294
HVO_RS03040	HVO_RS00550	0.999847	0.000000	0.545455	0.018063	0.098944	0.034968	0.000000	1.000000	0.953981
HVO_RS00450	HVO_RS07610	0.999845	0.000000	0.537313	0.018063	0.098197	0.034951	0.000000	1.000000	0.953805
HVO_RS17610	HVO_RS03020	0.999842	0.000000	0.529412	0.018063	0.097465	0.034934	0.000000	1.000000	0.953676
HVO_RS00415	HVO_RS00990	0.999840	0.000000	0.521739	0.018063	0.096750	0.034918	0.000000	1.000000	0.952301
HVO_RS19575	HVO_RS07610	0.999838	0.000000	0.514286	0.018063	0.096050	0.034901	0.000000	1.000000	0.952173
HVO_RS01675	HVO_RS00490	0.999835	0.000000	0.507042	0.018063	0.095365	0.034884	0.000000	1.000000	0.951935
HVO_RS03200	HVO_RS00990	0.999833	0.000000	0.500000	0.018063	0.094694	0.034867	0.000000	1.000000	0.951253
HVO_RS03065	HVO_RS03090	0.999830	0.000000	0.493151	0.018063	0.094037	0.034850	0.000000	1.000000	0.951244
HVO_RS00850	HVO_RS00990	0.999828	0.000000	0.486486	0.018063	0.093393	0.034833	0.000000	1.000000	0.950953
HVO_RS00440	HVO_RS00550	0.999826	0.000000	0.480000	0.018063	0.092762	0.034816	0.000000	1.000000	0.950910
HVO_RS14805	HVO_RS00550	0.999823	0.000000	0.473684	0.018063	0.092144	0.034799	0.000000	1.000000	0.950090
HVO_RS04420	HVO_RS07610	0.999821	0.000000	0.467532	0.018063	0.091537	0.034783	0.000000	1.000000	0.950057
HVO_RS00160	HVO_RS00550	0.999819	0.000000	0.461538	0.018063	0.090942	0.034766	0.000000	1.000000	0.949233
HVO_RS03020	HVO_RS00990	0.999816	0.000000	0.455696	0.018063	0.090359	0.034749	0.000000	1.000000	0.948940
HVO_RS17050	HVO_RS08155	0.999814	1.000000	0.462500	0.018565	0.092294	0.035697	1.000000	1.000000	0.948822
HVO_RS07625	HVO_RS00990	0.999812	0.000000	0.456790	0.018565	0.091717	0.035680	0.000000	1.000000	0.947893
HVO_RS04095	HVO_RS04100	0.999809	1.000000	0.463415	0.019067	0.093626	0.036627	1.000000	1.000000	0.946479
HVO_RS04060	HVO_RS04055	0.999807	1.000000	0.469880	0.019568	0.095517	0.037572	1.000000	1.000000	0.945500
HVO_RS00410	HVO_RS00490	0.999805	0.000000	0.464286	0.019568	0.094940	0.037554	0.000000	1.000000	0.945216
HVO_RS04430	HVO_RS07610	0.999802	0.000000	0.458824	0.019568	0.094375	0.037536	0.000000	1.000000	0.944423
HVO_RS00785	HVO_RS00780	0.999800	1.000000	0.465116	0.020070	0.096237	0.038480	1.000000	1.000000	0.944341
HVO_RS01025	HVO_RS00550	0.999797	0.000000	0.459770	0.020070	0.095677	0.038462	0.000000	1.000000	0.943707
HVO_RS08385	HVO_RS08400	0.999795	1.000000	0.465909	0.020572	0.097516	0.039404	1.000000	1.000000	0.943328
HVO_RS01110	HVO_RS03390	0.999793	0.000000	0.460674	0.020572	0.096961	0.039385	0.000000	1.000000	0.942235
HVO_RS01600	HVO_RS00490	0.999790	0.000000	0.455556	0.020572	0.096416	0.039366	0.000000	1.000000	0.942198
HVO_RS14735	HVO_RS00665	0.999788	0.000000	0.450549	0.020572	0.095879	0.039347	0.000000	1.000000	0.942044
HVO_RS11320	HVO_RS11235	0.999786	0.000000	0.445652	0.020572	0.095351	0.039329	0.000000	1.000000	0.941897
HVO_RS01550	HVO_RS00665	0.999783	0.000000	0.440860	0.020572	0.094831	0.039310	0.000000	1.000000	0.941873
HVO_RS15455	HVO_RS03390	0.999781	0.000000	0.436170	0.020572	0.094320	0.039291	0.000000	1.000000	0.941421
HVO_RS01005	HVO_RS00490	0.999779	0.000000	0.431579	0.020572	0.093816	0.039272	0.000000	1.000000	0.941253
HVO_RS03380	HVO_RS03020	0.999776	0.000000	0.427083	0.020572	0.093321	0.039253	0.000000	1.000000	0.941063
HVO_RS01650	HVO_RS07610	0.999774	0.000000	0.422680	0.020572	0.092833	0.039234	0.000000	1.000000	0.940515
HVO_RS01560	HVO_RS00990	0.999772	0.000000	0.418367	0.020572	0.092353	0.039216	0.000000	1.000000	0.939723
HVO_RS02225	HVO_RS01530	0.999769	0.000000	0.414141	0.020572	0.091880	0.039197	0.000000	1.000000	0.939636
HVO_RS00525	HVO_RS00550	0.999767	0.000000	0.410000	0.020572	0.091414	0.039178	0.000000	1.000000	0.939106
HVO_RS01580	HVO_RS00550	0.999765	0.000000	0.405941	0.020572	0.090955	0.039160	0.000000	1.000000	0.938947
HVO_RS08985	HVO_RS10420	0.999762	0.000000	0.401961	0.020572	0.090503	0.039141	0.000000	1.000000	0.938212
HVO_RS03055	HVO_RS00550	0.999760	0.000000	0.398058	0.020572	0.090057	0.039122	0.000000	1.000000	0.937953
HVO_RS00140	HVO_RS00490	0.999757	0.000000	0.394231	0.020572	0.089618	0.039103	0.000000	1.000000	0.937907
HVO_RS03310	HVO_RS00550	0.999755	0.000000	0.390476	0.020572	0.089185	0.039085	0.000000	1.000000	0.937592
HVO_RS00920	HVO_RS00550	0.999753	0.000000	0.386792	0.020572	0.088758	0.039066	0.000000	1.000000	0.936539
HVO_RS01635	HVO_RS00490	0.999750	0.000000	0.383178	0.020572	0.088337	0.039048	0.000000	1.000000	0.936097
HVO_RS01065	HVO_RS00550	0.999748	0.000000	0.379630	0.020572	0.087922	0.039029	0.000000	1.000000	0.935758
HVO_RS19570	HVO_RS07610	0.999746	0.000000	0.376147	0.020572	0.087513	0.039010	0.000000	1.000000	0.935324
HVO_RS03225	HVO_RS02330	0.999743	0.000000	0.372727	0.020572	0.087109	0.038992	0.000000	1.000000	0.933606
HVO_RS03100	HVO_RS03090	0.999741	1.000000	0.378378	0.021074	0.088839	0.039924	1.000000	1.000000	0.933203
HVO_RS04050	HVO_RS07610	0.999739	0.000000	0.375000	0.021074	0.088437	0.039905	0.000000	1.000000	0.932861
HVO_RS16765	HVO_RS12155	0.999736	0.000000	0.371681	0.021074	0.088039	0.039886	0.000000	1.000000	0.932607
HVO_RS00610	HVO_RS00550	0.999734	0.000000	0.368421	0.021074	0.087647	0.039867	0.000000	1.000000	0.931847
HVO_RS05105	HVO_RS02330	0.999732	0.000000	0.365217	0.021074	0.087261	0.039848	0.000000	1.000000	0.928929
HVO_RS14915	HVO_RS14935	0.999729	0.000000	0.362069	0.021074	0.086879	0.039829	0.000000	1.000000	0.928631
HVO_RS05755	HVO_RS01840	0.999727	0.000000	0.358974	0.021074	0.086502	0.039810	0.000000	1.000000	0.928222
HVO_RS01680	HVO_RS00990	0.999725	0.000000	0.355932	0.021074	0.086129	0.039792	0.000000	1.000000	0.927623
HVO_RS02305	HVO_RS00550	0.999722	0.000000	0.352941	0.021074	0.085762	0.039773	0.000000	1.000000	0.927562
HVO_RS13745	HVO_RS12155	0.999720	0.000000	0.350000	0.021074	0.085399	0.039754	0.000000	1.000000	0.927231
HVO_RS16995	HVO_RS08155	0.999717	0.000000	0.347107	0.021074	0.085040	0.039735	0.000000	1.000000	0.925936
HVO_RS05100	HVO_RS02330	0.999715						0.000000	1.000000	0.924997
HVO_RS01055	HVO_RS00550	0.999713	0.000000	0.344262	0.021074	0.084686	0.039716	0.000000	1.000000	0.924911
HVO_RS00130	HVO_RS03390	0.999710	0.000000	0.341463	0.021074	0.084336	0.039698	0.000000	1.000000	0.924589
HVO_RS07600	HVO_RS00490	0.999708	0.000000	0.338710	0.021074	0.083991	0.039679	0.000000	1.000000	0.924200
HVO_RS10070	HVO_RS07065	0.999706	0.000000	0.336000	0.021074	0.083649	0.039660	0.000000	1.000000	0.923794
HVO_RS14930	HVO_RS00490	0.999703	0.000000	0.333333	0.021074	0.083312	0.039641	0.000000	1.000000	0.923691
HVO_RS01240	HVO_RS00490	0.999701	0.000000	0.330709	0.021074	0.082979	0.039623	0.000000	1.000000	0.923394
HVO_RS17705	HVO_RS10420	0.999699	0.000000	0.328125	0.021074	0.082649	0.039604	0.000000	1.000000	0.922922
HVO_RS04135	HVO_RS03390	0.999696	0.000000	0.325581	0.021074	0.082323	0.039585	0.000000	1.000000	0.922390
HVO_RS01980	HVO_RS04530	0.999694	0.000000	0.323077	0.021074	0.082001	0.039567	0.000000	1.000000	0.922176
HVO_RS04550	HVO_RS07610	0.999692	0.000000	0.320611	0.021074	0.081683	0.039548	0.000000	1.000000	0.921965
HVO_RS07610	HVO_RS00550	0.999689	0.000000	0.318182	0.021074	0.081368	0.039529	0.000000	1.000000	0.921861
HVO_RS13705	HVO_RS12155	0.999687	0.000000	0.315789	0.021074	0.081057	0.039511	0.000000	1.000000	0.921635
HVO_RS04140	HVO_RS03390	0.999684	0.000000	0.313433	0.021074	0.080750	0.039492	0.000000	1.000000	0.921054
HVO_RS03330	HVO_RS03020	0.999682	0.000000	0.311111	0.021074	0.080445	0.039474	0.000000	1.000000	0.921009
HVO_RS04905	HVO_RS04890	0.999680	1.000000	0.316176	0.021576	0.082068	0.040395	1.000000	1.000000	0.920906
HVO_RS14875	HVO_RS00550	0.999677	0.000000	0.313869	0.021576	0.081763	0.040376	0.000000	1.000000	0.920567
HVO_RS01555	HVO_RS00490	0.999675	0.000000	0.311594	0.021576	0.081462	0.040357	0.000000	1.000000	0.920125
HVO_RS01270	HVO_RS00550	0.999673	0.000000	0.309353	0.021576	0.081164	0.040338	0.000000	1.000000	0.919588
HVO_RS19420	HVO_RS15650	0.999670	1.000000	0.314286	0.022077	0.082764	0.041256	1.000000	1.000000	0.919280
HVO_RS08420	HVO_RS05530	0.999668	0.000000	0.312057	0.022077	0.082466	0.041237	0.000000	1.000000	0.919007
HVO_RS01640	HVO_RS00490	0.999666	0.000000	0.309859	0.022077	0.082170	0.041218	0.000000	1.000000	0.918183
HVO_RS07110	HVO_RS17855	0.999663	1.000000	0.314685	0.022579	0.083754	0.042135	1.000000	1.000000	0.917969
HVO_RS15190	HVO_RS05530	0.999661	0.000000	0.312500	0.022579	0.083458	0.042115	0.000000	1.000000	0.917525
HVO_RS01575	HVO_RS00550	0.999659	0.000000	0.310345	0.022579	0.083165	0.042095	0.000000	1.000000	0.917179
HVO_RS00405	HVO_RS00990	0.999656	0.000000	0.308219	0.022579	0.082876	0.042076	0.000000	1.000000	0.916993
HVO_RS09610	HVO_RS10345	0.999654	0.000000	0.306122	0.022579	0.082589	0.042056	0.000000	1.000000	0.916980
HVO_RS02520	HVO_RS02530	0.999652	1.000000	0.310811	0.023081	0.084148	0.042971	1.000000	1.000000	0.916693
HVO_RS14880	HVO_RS07610	0.999649	0.000000	0.308725	0.023081	0.083861	0.042951	0.000000	1.000000	0.916650
HVO_RS19265	HVO_RS10345	0.999647	0.000000	0.306667	0.023081	0.083577	0.042930	0.000000	1.000000	0.915946
HVO_RS15900	HVO_RS05530	0.999644	0.000000	0.304636	0.023081	0.083295	0.042910	0.000000	1.000000	0.915884
HVO_RS01075	HVO_RS00550	0.999642	0.000000	0.302632	0.023081	0.083016	0.042890	0.000000	1.000000	0.915525
HVO_RS17215	HVO_RS12155	0.999640	0.000000	0.300654	0.023081	0.082740	0.042870	0.000000	1.000000	0.915409
HVO_RS01660	HVO_RS07610	0.999637	0.000000	0.298701	0.023081	0.082467	0.042850	0.000000	1.000000	0.915389
HVO_RS00515	HVO_RS00550	0.999635	0.000000	0.296774	0.023081	0.082196	0.042831	0.000000	1.000000	0.915310
HVO_RS12605	HVO_RS10420	0.999633	0.000000	0.294872	0.023081	0.081928	0.042811	0.000000	1.000000	0.915125
HVO_RS04930	HVO_RS04890	0.999630	1.000000	0.299363	0.023583	0.083453	0.043721	1.000000	1.000000	0.915057
HVO_RS13700	HVO_RS10345	0.999628	0.000000	0.297468	0.023583	0.083184	0.043701	0.000000	1.000000	0.914799
HVO_RS14910	HVO_RS14935	0.999626	0.000000	0.295597	0.023583	0.082917	0.043680	0.000000	1.000000	0.914170
HVO_RS03185	HVO_RS00665	0.999623	0.000000	0.293750	0.023583	0.082654	0.043660	0.000000	1.000000	0.913399
HVO_RS04465	HVO_RS04460	0.999621	1.000000	0.298137	0.024084	0.084160	0.044568	1.000000	1.000000	0.912786
HVO_RS10240	HVO_RS15335	0.999619	0.000000	0.296296	0.024084	0.083896	0.044548	0.000000	1.000000	0.912559
HVO_RS07620	HVO_RS02245	0.999616	0.000000	0.294479	0.024084	0.083634	0.044527	0.000000	1.000000	0.912518
HVO_RS04130	HVO_RS00550	0.999614	0.000000	0.292683	0.024084	0.083374	0.044506	0.000000	1.000000	0.911091
HVO_RS03935	HVO_RS10345	0.999611	0.000000	0.290909	0.024084	0.083117	0.044486	0.000000	1.000000	0.911054
HVO_RS01400	HVO_RS07885	0.999609	0.000000	0.289157	0.024084	0.082862	0.044465	0.000000	1.000000	0.910864
HVO_RS01000	HVO_RS02245	0.999607	0.000000	0.287425	0.024084	0.082610	0.044444	0.000000	1.000000	0.910538
HVO_RS07850	HVO_RS01745	0.999604	0.000000	0.285714	0.024084	0.082359	0.044424	0.000000	1.000000	0.909683
HVO_RS01145	HVO_RS03390	0.999602	0.000000	0.284024	0.024084	0.082111	0.044403	0.000000	1.000000	0.909325
HVO_RS01100	HVO_RS00990	0.999600	0.000000	0.282353	0.024084	0.081865	0.044383	0.000000	1.000000	0.909224
HVO_RS02250	HVO_RS03390	0.999597	0.000000	0.280702	0.024084	0.081621	0.044362	0.000000	1.000000	0.908697
HVO_RS01200	HVO_RS03340	0.999595	0.000000	0.279070	0.024084	0.081380	0.044342	0.000000	1.000000	0.908558
HVO_RS03820	HVO_RS17680	0.999593	0.000000	0.277457	0.024084	0.081140	0.044321	0.000000	1.000000	0.908323
HVO_RS17700	HVO_RS10420	0.999590	0.000000	0.275862	0.024084	0.080902	0.044301	0.000000	1.000000	0.908049
HVO_RS00115	HVO_RS00665	0.999588	0.000000	0.274286	0.024084	0.080667	0.044280	0.000000	1.000000	0.908021
HVO_RS10640	HVO_RS10420	0.999586	0.000000	0.272727	0.024084	0.080433	0.044260	0.000000	1.000000	0.907868
HVO_RS01115	HVO_RS00550	0.999583	0.000000	0.271186	0.024084	0.080202	0.044240	0.000000	1.000000	0.907763
HVO_RS10065	HVO_RS07065	0.999581	0.000000	0.269663	0.024084	0.079972	0.044219	0.000000	1.000000	0.907674
HVO_RS01480	HVO_RS02330	0.999579	0.000000	0.268156	0.024084	0.079744	0.044199	0.000000	1.000000	0.907621
HVO_RS00465	HVO_RS00990	0.999576	0.000000	0.266667	0.024084	0.079519	0.044179	0.000000	1.000000	0.907516
HVO_RS14855	HVO_RS00550	0.999574	0.000000	0.265193	0.024084	0.079295	0.044158	0.000000	1.000000	0.905749
HVO_RS03025	HVO_RS00990	0.999571	0.000000	0.263736	0.024084	0.079073	0.044138	0.000000	1.000000	0.905364
HVO_RS04425	HVO_RS07610	0.999569	0.000000	0.262295	0.024084	0.078852	0.044118	0.000000	1.000000	0.905329
HVO_RS17995	HVO_RS00550	0.999567	0.000000	0.260870	0.024084	0.078634	0.044097	0.000000	1.000000	0.905006
HVO_RS01030	HVO_RS00550	0.999564	0.000000	0.259459	0.024084	0.078417	0.044077	0.000000	1.000000	0.903551
HVO_RS04445	HVO_RS07610	0.999562						0.000000	1.000000	0.903501
HVO_RS02750	HVO_RS04530	0.999560	0.000000	0.258065	0.024084	0.078202	0.044057	0.000000	1.000000	0.902801
HVO_RS00565	HVO_RS02330	0.999557	0.000000	0.256684	0.024084	0.077989	0.044037	0.000000	1.000000	0.901851
HVO_RS20375	HVO_RS02330	0.999555						0.000000	1.000000	0.900986
