target	regulator	combined_confidences	gold_standard	precision	recall	MCC	F1	prior	beta.sign.sum	var.exp.median
VNG_RS07830	VNG_RS07825	1.000000						1	1.000000	0.879321
VNG_RS11020	VNG_RS12735	0.999992						1	1.000000	0.866601
VNG_RS00975	VNG_RS01835	0.999985						1	1.000000	0.862064
VNG_RS00150	VNG_RS11895	0.999977						1	1.000000	0.855211
VNG_RS01765	VNG_RS01780	0.999970						1	1.000000	0.663688
VNG_RS07310	VNG_RS05640	0.999962						1	1.000000	0.642732
VNG_RS12485	VNG_RS00590	0.999955						1	1.000000	0.624632
VNG_RS11895	VNG_RS00150	0.999947						1	1.000000	0.597949
VNG_RS12920	VNG_RS07155	0.999940						1	1.000000	0.577321
VNG_RS12485	VNG_RS01035	0.999932						1	1.000000	0.519802
VNG_RS01490	VNG_RS02585	0.999925						1	1.000000	0.504945
VNG_RS06285	VNG_RS05805	0.999917						1	1.000000	0.485239
VNG_RS01795	VNG_RS00145	0.999910						1	1.000000	0.483155
VNG_RS09705	VNG_RS01755	0.999902						1	1.000000	0.458858
VNG_RS01005	VNG_RS00640	0.999894						1	1.000000	0.456898
VNG_RS00590	VNG_RS12485	0.999887						1	1.000000	0.435051
VNG_RS06640	VNG_RS01645	0.999879						1	1.000000	0.431269
VNG_RS10030	VNG_RS05030	0.999872						1	1.000000	0.419466
VNG_RS01765	VNG_RS03010	0.999864						1	1.000000	0.396403
VNG_RS03565	VNG_RS07890	0.999857						1	1.000000	0.396070
VNG_RS05605	VNG_RS00145	0.999849						1	1.000000	0.395503
VNG_RS06585	VNG_RS01645	0.999842						1	1.000000	0.393530
VNG_RS12605	VNG_RS11050	0.999834						1	1.000000	0.384840
VNG_RS05715	VNG_RS03875	0.999827						1	1.000000	0.378599
VNG_RS10010	VNG_RS03275	0.999819						1	1.000000	0.372296
VNG_RS12340	VNG_RS12310	0.999812						0	1.000000	0.362084
VNG_RS11220	VNG_RS04845	0.999804						1	1.000000	0.356982
VNG_RS12595	VNG_RS11050	0.999796						1	1.000000	0.344402
VNG_RS00145	VNG_RS01795	0.999789						1	1.000000	0.334108
VNG_RS07895	VNG_RS07890	0.999781						0	-1.000000	0.332934
VNG_RS05715	VNG_RS05800	0.999774						1	1.000000	0.332595
VNG_RS05720	VNG_RS05800	0.999766						1	1.000000	0.321413
VNG_RS09675	VNG_RS08840	0.999759						1	1.000000	0.320957
VNG_RS10085	VNG_RS03275	0.999751						1	1.000000	0.315171
VNG_RS11575	VNG_RS01755	0.999744						0	1.000000	0.309725
VNG_RS12325	VNG_RS12310	0.999736						0	1.000000	0.309543
VNG_RS04790	VNG_RS01250	0.999729						1	1.000000	0.301476
VNG_RS10450	VNG_RS07115	0.999721						1	1.000000	0.300242
VNG_RS05675	VNG_RS03875	0.999714						1	1.000000	0.292492
VNG_RS08830	VNG_RS08885	0.999706						1	1.000000	0.289514
VNG_RS06935	VNG_RS06930	0.999698						1	1.000000	0.287854
VNG_RS01005	VNG_RS04605	0.999691						1	1.000000	0.269632
VNG_RS12745	VNG_RS12735	0.999683						0	1.000000	0.264028
VNG_RS08090	VNG_RS08105	0.999676						1	1.000000	0.263659
VNG_RS10215	VNG_RS05785	0.999668						1	1.000000	0.261763
VNG_RS06190	VNG_RS11535	0.999661						0	1.000000	0.261406
VNG_RS03785	VNG_RS07890	0.999653						1	1.000000	0.255121
VNG_RS09230	VNG_RS10230	0.999646						0	-1.000000	0.253801
VNG_RS01605	VNG_RS04180	0.999638						1	1.000000	0.251281
VNG_RS08090	VNG_RS04280	0.999631						1	1.000000	0.250720
VNG_RS03785	VNG_RS07115	0.999623						0	1.000000	0.245548
VNG_RS04465	VNG_RS01645	0.999616						0	1.000000	0.242009
VNG_RS03565	VNG_RS03875	0.999608						1	1.000000	0.241151
VNG_RS07925	VNG_RS00725	0.999600						1	1.000000	0.241118
VNG_RS01385	VNG_RS06890	0.999593						0	-1.000000	0.240600
VNG_RS07925	VNG_RS00395	0.999585						1	1.000000	0.239769
VNG_RS13510	VNG_RS07385	0.999578						0	-1.000000	0.236376
VNG_RS11375	VNG_RS02325	0.999570						0	1.000000	0.236066
VNG_RS05710	VNG_RS10335	0.999563						0	1.000000	0.234823
VNG_RS09675	VNG_RS09685	0.999555						1	1.000000	0.233648
