target	regulator	combined_confidences	gold_standard	precision	recall	MCC	F1	beta.sign.sum	var.exp.median
HVO_RS07420	HVO_RS07430	0.500119						1.000000	0.500000
HVO_RS04600	HVO_RS04605	0.500119						1.000000	0.500000
HVO_RS03700	HVO_RS02405	0.500119						1.000000	0.500000
HVO_RS03280	HVO_RS02040	0.500119						1.000000	0.500000
HVO_RS02405	HVO_RS03700	0.500119	1.000000	1.000000	0.002907	0.093289	0.005797	1.000000	0.500000
HVO_RS15255	HVO_RS07185	0.500119						1.000000	0.500000
HVO_RS18940	HVO_RS16810	0.500119	1.000000	1.000000	0.005814	0.093289	0.011561	1.000000	0.500000
HVO_RS01370	HVO_RS01380	0.500119						1.000000	0.500000
HVO_RS03685	HVO_RS02420	0.500119	1.000000	1.000000	0.008721	0.093289	0.017291	1.000000	0.500000
HVO_RS02610	HVO_RS02615	0.500119						1.000000	0.500000
HVO_RS05525	HVO_RS05530	0.500119						1.000000	0.500000
HVO_RS00510	HVO_RS00550	0.500119						1.000000	0.500000
HVO_RS00995	HVO_RS00990	0.500119						1.000000	0.500000
HVO_RS02470	HVO_RS02465	0.500116						1.000000	0.499917
HVO_RS05580	HVO_RS05680	0.500115						1.000000	0.499662
HVO_RS01830	HVO_RS01840	0.500115						1.000000	0.499136
HVO_RS14470	HVO_RS14485	0.500114						1.000000	0.498149
HVO_RS03105	HVO_RS03090	0.500114						1.000000	0.497844
HVO_RS01835	HVO_RS01840	0.500113						1.000000	0.497012
HVO_RS01825	HVO_RS01840	0.500113						1.000000	0.496506
HVO_RS14920	HVO_RS14935	0.500113						1.000000	0.496445
HVO_RS01670	HVO_RS00490	0.500112	1.000000	1.000000	0.011628	0.107722	0.022989	1.000000	0.495361
HVO_RS14480	HVO_RS14485	0.500112						1.000000	0.494323
HVO_RS07070	HVO_RS07065	0.500111						1.000000	0.494232
HVO_RS13145	HVO_RS17680	0.500111	1.000000	1.000000	0.014535	0.120437	0.028653	1.000000	0.494098
HVO_RS04465	HVO_RS04460	0.500110						1.000000	0.492418
